Date,Ozone AQI Value,AQI Category,Site Name,Site ID,Source
04/26/2020,166,Unhealthy,Pasadena,06-037-2005,AQS
04/27/2020,108,Unhealthy for Sensitive Groups,Santa Clarita,06-037-6012,AQS
04/28/2020,185,Unhealthy,Santa Clarita,06-037-6012,AQS
04/29/2020,147,Unhealthy for Sensitive Groups,Santa Clarita,06-037-6012,AQS
04/30/2020,143,Unhealthy for Sensitive Groups,Glendora,06-037-0016,AQS
05-01-20,97,Moderate,Glendora,06-037-0016,AQS
05-02-20,90,Moderate,Glendora,06-037-0016,AQS
05-03-20,61,Moderate,Glendora,06-037-0016,AQS
05-04-20,115,Unhealthy for Sensitive Groups,Glendora,06-037-0016,AQS
05-05-20,159,Unhealthy,Pomona,06-037-1701,AQS
05-06-20,206,Very Unhealthy,Glendora,06-037-0016,AQS
05-07-20,203,Very Unhealthy,Pasadena,06-037-2005,AQS
05-08-20,185,Unhealthy,Santa Clarita,06-037-6012,AQS
